Tag ID,Name,Breed,Gender,Date of Birth,Status,Current Pasture,Is Pregnant (TRUE/FALSE),Expected Calving Date,Insemination Method,Dam Tag,Sire Tag,Purchase Date,Purchase Price (ZAR),Supplier,Sale Date,Sale Price (ZAR),Buyer
V20-1,Brenda,Nguni,Cow,2020-06-23,Active,,TRUE,2025-10-15,Bull (Barrack),R-CHIP,Vrystaat,2020-06-23,0,Homebred (Glenthorpe),,,
V20-5,Sara,Nguni,Cow,2020-10-09,Active,,TRUE,2025-07-15,Bull (Barrack),,Vrystaat,2020-10-09,0,Homebred (Glenthorpe),,,
R19-1,Zelda,Nguni,Cow,2019-01-01,Active,,TRUE,2025-10-15,Bull (Barrack),,,,0,Auction (with mother),,,
R-PAT,Paterson,Nguni,Cow,2018-01-01,Active,,TRUE,2025-10-15,Bull (Barrack),,,,0,Rodney,,,
V20-3,Socks,Nguni,Cow,2020-09-01,Active,,TRUE,2025-10-15,Bull (Barrack),R-MKS,Vrystaat,2020-09-01,0,Homebred (Glenthorpe),,,
V21-1,Mbambo,Nguni,Cow,2021-10-10,Active,,TRUE,2025-10-15,Bull (Barrack),R-ENO,Vrystaat,2021-10-10,0,Homebred (Glenthorpe),,,
V21-2,Cheeks,Nguni,Cow,2021-10-10,Active,,FALSE,,,,Vrystaat,2021-10-10,0,Homebred (Glenthorpe),,,
V21-3,Cheddar,Nguni,Cow,2021-11-01,Active,,FALSE,,,R-MASH,Vrystaat,2021-11-01,0,Homebred (Glenthorpe),,,
V21-4,Yang,Nguni,Cow,2021-11-27,Active,,FALSE,,,R-YIN,Vrystaat,2021-11-27,0,Homebred (Glenthorpe),,,
POPE-21,Pope,Nguni,Cow,2021-08-17,Active,,TRUE,2025-08-15,Bull (Barrack),R-PAT,Vrystaat,2021-08-17,0,Homebred (Glenthorpe),,,
B23-18,Liddy-Patch,Nguni,Heifer,2023-12-22,Active,,FALSE,,,,,2023-12-26,0,Rodney (cow calved on farm),,,
B23-7,Ribbon,Nguni,Cow,2023-03-20,Active,,FALSE,,,R-YIN,Barrack,2023-03-20,0,Homebred (Glenthorpe),,,
B23-2,Cecile,Nguni,Heifer,2023-02-22,Active,,FALSE,,,R-MASH,Barrack,2023-02-22,0,Homebred (Glenthorpe),,,
B22-4,Jina,Nguni,Heifer,2022-10-06,Active,,FALSE,,,R-BAT,Barrack,2022-10-06,0,Homebred (Glenthorpe),,,
B24-3,Umlozi,Nguni,Heifer,2024-01-31,Active,,FALSE,,,R-BAT,Barrack,2024-01-31,0,Homebred (Glenthorpe),,,
B23-14,Marmite,Nguni,Heifer,2023-10-27,Active,,FALSE,,,R-ENO,Barrack,2023-10-27,0,Homebred (Glenthorpe),,,
B24-14,Prof,Nguni,Heifer,2024-09-18,Active,,FALSE,,,R-ENO,Barrack,2024-09-18,0,Homebred (Glenthorpe),,,
B24-18,Zen,Nguni,Heifer,2024-11-09,Active,,FALSE,,,R-YIN,Barrack,2024-11-09,0,Homebred (Glenthorpe),,,
B23-16,Elizabedi,Nguni,Heifer,2023-11-30,Active,,FALSE,,,AV-21-67,Barrack,2023-11-30,0,Homebred (Glenthorpe),,,
B24-20,Azania,Nguni,Heifer,2024-11-21,Active,,FALSE,,,V20-7,Barrack,2024-11-21,0,Homebred (Glenthorpe),,,
B24-17,Galloway,Nguni,Heifer,2024-11-06,Active,,FALSE,,,V20-4,Barrack,2024-11-06,0,Homebred (Glenthorpe),,,
B22-7,Lihle,Nguni,Heifer,2022-10-17,Active,,FALSE,,,V20-6,Barrack,2022-10-17,0,Homebred (Glenthorpe),,,
B24-8,Amore,Nguni,Heifer,2024-09-04,Active,,FALSE,,,V20-6,Barrack,2024-09-04,0,Homebred (Glenthorpe),,,
B23-13,Fassie,Nguni,Heifer,2023-10-23,Active,,FALSE,,,V20-1,Barrack,2023-10-23,0,Homebred (Glenthorpe),,,
B24-13,Danny,Nguni,Heifer,2024-09-15,Active,,FALSE,,,V20-5,Barrack,2024-09-15,0,Homebred (Glenthorpe),,,
B24-23,Link,Nguni,Heifer,2024-12-01,Active,,FALSE,,,R19-1,Barrack,2024-12-01,0,Homebred (Glenthorpe),,,
B23-8,Patty,Nguni,Heifer,2023-07-11,Active,,FALSE,,,R-PAT,Barrack,2023-07-11,0,Homebred (Glenthorpe),,,
B22-3,Michie,Nguni,Heifer,2022-10-01,Active,,FALSE,,,V20-3,Barrack,2022-10-01,0,Homebred (Glenthorpe),,,
B24-6,Mooi,Nguni,Heifer,2024-08-29,Active,,FALSE,,,V21-1,Barrack,2024-08-29,0,Homebred (Glenthorpe),,,
B24-16,Mozza,Nguni,Heifer,2024-10-25,Active,,FALSE,,,V21-3,Barrack,2024-10-25,0,Homebred (Glenthorpe),,,
B24-10,Bishop,Nguni,Heifer,2024-09-10,Active,,FALSE,,,POPE-21,Barrack,2024-09-10,0,Homebred (Glenthorpe),,,
B24-19,Hickory,Nguni,Heifer,2024-11-18,Active,,FALSE,,,B23-7,Barrack,2024-11-18,0,Homebred (Glenthorpe),,,
B24-22,Clyde,Nguni,Heifer,2024-11-27,Active,,FALSE,,,VK-16-149,Barrack,2024-11-27,0,Homebred (Glenthorpe),,,
B23-4,Frita,Nguni,Heifer,2023-03-08,Active,,FALSE,,,R-CHIP,Barrack,2023-03-08,0,Homebred (Glenthorpe),,,
B23-1,Bonnie,Nguni,Heifer,2023-01-20,Active,,FALSE,,,VK-16-149,Barrack,2023-01-20,0,Homebred (Glenthorpe),,,
B23-6,Jali,Nguni,Heifer,2023-03-17,Active,,FALSE,,,,Barrack,2023-03-17,0,Homebred (Glenthorpe),,,
B23-3,Nobuhle,Nguni,Heifer,2023-02-27,Active,,FALSE,,,,Barrack,2023-02-27,0,Homebred (Glenthorpe),,,
R-BABY-ASTRA,Baby Astra,Nguni,Cow,2011-01-01,Sold,,FALSE,,,,,2019-01-01,7500,Rodney,2024-04-04,6000,GHT Auction
R-ASTRA,Astra,Nguni,Cow,,Sold,,FALSE,,,,,2017-01-01,6700,Rodney,2024-12-05,7700,Sold 190kg @R32/kg
R-BRINJ,Brinjal,Nguni,Cow,,Sold,,FALSE,,,,,,0,,2024-04-04,8000,Rodney (GHT Auction)
R-OREO,Red Oreo,Nguni,Cow,,Sold,,FALSE,,,,,2016-01-01,0,Rodney,2023-11-01,7000,Rodney (Charlgrove Auction)
R-BIGHORNS,Big Horns,Nguni,Cow,,Sold,,FALSE,,,,,,7500,Rodney,2024-04-04,,GHT Auction
